X,Y,VX,VY
1.229217117021271E+08,-8.848200609639773E+07,1.690676974732408E+01,2.405941562082742E+01
1.243649063896980E+08,-8.639087592323737E+07,1.649980273276340E+01,2.434528994960097E+01
1.257727555757049E+08,-8.427532581039152E+07,1.608859586449503E+01,2.462471243113743E+01
1.271448942071494E+08,-8.213590798368266E+07,1.567316607176102E+01,2.489780166490569E+01
1.284809554990618E+08,-7.997316547281156E+07,1.525345747704492E+01,2.516464602919016E+01
1.297805652343451E+08,-7.778763619040102E+07,1.482935836052370E+01,2.542527086057981E+01
1.310433382945506E+08,-7.557985936313449E+07,1.440073447964252E+01,2.567961875270316E+01
1.322688783749171E+08,-7.335038279648097E+07,1.396746711891268E+01,2.592755039159341E+01
1.334567807038213E+08,-7.109976923992278E+07,1.352948274090780E+01,2.616886331777715E+01
1.346066366786112E+08,-6.882860069839989E+07,1.308676725626003E+01,2.640331884869840E+01
1.357180390878710E+08,-6.653748043751071E+07,1.263936605707620E+01,2.663066718423669E+01
1.367905869238813E+08,-6.422703311282827E+07,1.218737558262878E+01,2.685066527490654E+01
1.378238893191763E+08,-6.189790370078178E+07,1.173093230245616E+01,2.706308690634359E+01
1.388175685596780E+08,-5.955075582181469E+07,1.127020274324835E+01,2.726772712961121E+01
1.397712623325984E+08,-5.718626982986751E+07,1.080537579819610E+01,2.746440363246784E+01
1.406846254024134E+08,-5.480514084420295E+07,1.033665706656828E+01,2.765295693283815E+01
1.415573308572841E+08,-5.240807677969833E+07,9.864264433550156E+00,2.783325029758251E+01
1.423890710010220E+08,-4.999579638885175E+07,9.388424198029742E+00,2.800516953387078E+01
1.431795579215212E+08,-4.756902733498507E+07,8.909367440390580E+00,2.816862242733466E+01
1.439285237578569E+08,-4.512850433845939E+07,8.427326721038492E+00,2.832353758786159E+01
1.446357207079422E+08,-4.267496744976179E+07,7.942533439111611E+00,2.846986269050444E+01
1.453009208491847E+08,-4.020916049110162E+07,7.455216190641691E+00,2.860756240760471E+01
1.459239158667322E+08,-3.773182967091271E+07,6.965600271211010E+00,2.873661657984843E+01
1.465045167831511E+08,-3.524372232226788E+07,6.473908146534681E+00,2.885701928842219E+01
1.470425537520913E+08,-3.274558565976759E+07,5.980360338535345E+00,2.896877944597125E+01
